ID,location_name,lat,long
2282318,Pouéné,9.72908,-2.7866
2285251,Léraba Occidentale,10.28333,-5.11667
2287216,Kéléouoro,9.80748,-4.05023
2298457,Issana Bouga,10.91667,-1.18333
2353290,Forêt Classée de Ziga,12.47106,-1.08644
2353306,Gounghin,12.06677,-1.42134
2353473,Dar Salam,12.36146,-1.63909
2353543,Forêt Classée de Yendéré,10.15,-5.06667
2353568,Province du Yatenga,13.58333,-2.41667
2353713,Forêt Classée de Yabo,12.98801,-1.50561
2353723,Oulmasoutou,13.69958,0.16695
2353725,Ouokinga Ouobilo,13.6427,-2.67
2353731,Forêt Classée de Woro,12.35,-2.93333
2353732,Ouro,13.85748,-2.11771
2353736,Ouoré Yarsé,13.21193,-2.62578
2353737,Ouoré,12.56075,-1.03693
2353739,Ouonon,13.04465,-2.1237
2353741,Oumsom,13.38426,-2.16987
2353751,Ouidtenga,12.79062,-1.7484
2353754,Ouéria,12.92777,-1.08047
2353771,Ouétigué,13.32728,-2.28137
2353795,Ouembaïri,13.02822,-2.58294
2353810,Oué,12.60032,0.41266
2353813,Ouazélé,12.81667,-1.48333
2353814,Forêt Classée de Wayen,12.43544,-1.02406
2353817,Ouavoussé,13.16118,-2.00384
2353826,Ouatinoma,13.61022,-2.28618
2353827,Ouatinoma,13.1361,-2.0307
2353828,Ouatinoma,12.21379,-1.71968
2353837,Ouarokuy,12.9913,-4.1921
2353847,Ouara,12.8473,-1.13959
2353848,Poédogo,12.64146,-1.34045
2353850,Ouapensé,12.98401,-1.8491
2353895,Ouagaya,13.6626,-2.2116
2353896,Ouagatenga,12.5718,-1.21831
2353900,Ouédéguen,12.30883,-1.91233
2353904,Ouabiyiri,12.22792,-1.31721
2353924,Manéfyam,12.47269,-1.74372
2353925,Forêt Classée de la Volta Rouge,11.66667,-1.5
2353928,Forêt Classée de Nakambé,12.11494,-1.11547
2354053,Forêt Classée du Tui,11.76667,-3.58333
2354205,Forêt Classée de Toroba,12.48333,-3.26667
2354358,Forêt Classée de Tissé,12.13333,-2.86667
2354361,Kiro-Hari,14.4257,-0.04737
2354404,Forêt Classée de Tiogo,12.26667,-2.78333
2354438,Lac de Tingrela,10.63333,-4.85
2354442,Kienfangué,12.20159,-1.55552
2354649,Bamguèl Térèlbi,14.56858,-0.87936
2354652,Forêt Classée du Téré,11.68926,-4.40884
2354656,Bamguél Terbi,14.21927,0.20592
2354771,Province de la Tapoa,12.0,1.75
2354804,Nakomtenga,12.23644,-1.3357
2355130,Bagma,12.33649,-1.77232
2355159,Plateau du Tagouara,10.91667,-5.33333
2355211,Province du Sourou,13.25,-3.0
2355228,Jida Yarsé,12.93483,-1.3966
2355248,Province du Soum,14.33333,-1.25
2355249,Mare de Soum,14.78287,-1.0836
2355323,Forêt Classée de Sorobouli,11.88333,-2.88333
2355474,Province de la Sissili,11.33333,-2.25
2355486,Cissin,12.32472,-1.53489
2355546,Aiguille de Sindou,10.66667,-5.15
2355562,Dambren,13.52167,-1.98627
2355691,Lac de Sian,13.09864,-1.21055
2355711,Banamb-Sesso,9.8086,-2.87766
2355737,Province du Séno,13.964,0.012
2355914,Province du Sanmatenga,13.25,-1.08333
2355919,Mont Sankoiré,10.98333,0.6
2355930,Province du Sanguié,12.16667,-2.66667
2355977,Dana,11.47316,-5.01364
2355984,Bamguél Sampoulé,14.3941,-1.49459
2356146,Bitogo,12.53152,-1.51066
2356165,Forêt Classée de Sa,12.65,-3.28333
2356181,Doumtinga,12.09102,-1.49314
2356277,Daguilma,12.512,-1.4412
2356287,Pyourgou,12.25,-0.46667
2356288,Penghin,12.06754,-1.82115
2356289,Pyéongou,12.11667,0.55
2356290,Pwiga,14.42583,-0.50691
2356291,Pwédogo,12.67657,-1.8664
2356292,Poédogo,12.61802,-1.53834
2356293,Pro,11.63333,-2.06667
2356294,Prata,11.0,-1.73333
2356295,Pra,11.31667,-1.68333
2356296,Poyésé,12.68333,-0.93333
2356297,Poya,11.06667,-3.8
2356298,Povéra,10.2,-3.23333
2356299,Pouza,11.81667,-3.6
2356300,Pouytenga,12.25162,-0.42565
2356301,Pousgnangden,12.8052,-1.97468
2356302,Pouswoko,11.6,-1.05
2356303,Pouswaka,11.61667,-1.26667
2356304,Pousma,11.98604,-2.64197
2356305,Poussougaboko,13.96558,-2.31769
2356306,Poussoaka,11.85,-0.46667
2356307,Pousseumé,12.4,-0.45
2356308,Poussouwaka,12.0967,-1.62965
2356309,Pousgziga,12.56077,-1.30149
2356310,Pousmiougou,13.03125,-1.11676
2356311,Pousgo,13.0483,-1.13095
2356312,Pousghin,12.1,-0.73333
2356313,Pourzougou,13.41837,-0.62337
2356314,Poura,13.1311,-1.81612
2356315,Pourou,11.28333,-2.73333
2356316,Pournyango,12.98333,-2.15
2356317,Pourgo,12.43298,-1.81923
2356318,Pourgo,12.37567,-1.96842
2356319,Mines d’Or de Poura,11.58333,-2.76667
2356320,Poura,13.1552,-3.3528
2356321,Poura,11.61961,-2.7536
2356322,Poura,10.65,-3.08333
2356323,Poura,10.36667,-3.01667
2356324,Poupyéna,12.53666,1.94122
2356325,Poupourou,11.73333,-2.53333
2356326,Pounpoueni,10.96667,0.58333
2356327,Pounouroukou,9.8,-4.26667
2356328,Pounkougan,11.2,-1.06667
2356329,Pouni,13.31943,-1.5066
2356330,Pouni,11.96667,-2.55
2356331,Pounéla,10.36667,-3.18333
2356332,Poune,11.51667,-1.58333
2356333,Poundou,12.19013,-3.58235
2356334,Poun,12.46502,-2.60647
2356335,Pouloupoulou,9.96667,-2.96667
2356336,Poulma,12.91667,-2.03333
2356337,Poulallé,13.09393,-0.85578
2356338,Poulaba,11.3,-3.18333
2356339,Pouintinga,11.98333,-1.35
2356340,Pouima,13.13766,-2.28928
2356341,Pougsdon,13.2343,-1.19243
